canonical_code,display_code,name_zh,aliases,name_source,popularity
sh000001,sh000001,上证指数,000001.SH,腾讯,100
sh000009,sh000009,上证380,000009.SH,腾讯,100
sh000010,sh000010,上证180,000010.SH,腾讯,100
sh000016,sh000016,上证50,000016.SH,腾讯,100
sh000300,sh000300,沪深300,sz399300|000300.SH|000300.CSI,腾讯,100
sh000688,sh000688,科创50,000688.SH,腾讯,100
sh000852,sh000852,中证1000,000852.SH,腾讯,100
sh000905,sh000905,中证500,sz399905|000905.SH|000905.CSI,腾讯,100
sh000906,sh000906,中证800,000906.SH,腾讯,100
sz399001,sz399001,深证成指,399001.SZ,腾讯,100
sz399005,sz399005,中小100,399005.SZ,腾讯,100
sz399006,sz399006,创业板指,399006.SZ,腾讯,100
sz399303,sz399303,国证2000,399303.SZ,腾讯,100
sz399330,sz399330,深证100,399330.SZ,腾讯,100
sh000015,sh000015,红利指数,000015.SH,腾讯,100
sh000922,sh000922,中证红利,sz399922|000922.SH|000922.CSI,腾讯,100
sz399324,sz399324,深证红利,399324.SZ,腾讯,100
sh000941,sh000941,新能源,000941.SH,腾讯,100
sz399296,sz399296,创成长,399296.SZ,腾讯,100
sz399967,sz399967,中证军工,399967.SZ,腾讯,100
sz399975,sz399975,证券公司,399975.SZ,腾讯,100
sz399986,sz399986,中证银行,399986.SZ,腾讯,100
sz399989,sz399989,中证医疗,399989.SZ,腾讯,100
sz399997,sz399997,中证白酒,399997.SZ,腾讯,100
sz980092,sz980092,自由现金流,980092.SZ,腾讯,100
csi932365,932365.CSI,中证现金流,,东财 2.932365,100
csi930955,930955.CSI,红利低波100,,东财 2.930955,100
csi931052,931052.CSI,国信价值,,东财 2.931052,100
csi931446,931446.CSI,东证红利低波,,东财 2.931446,100
csi931643,931643.CSI,科创创业50,,东财 2.931643,100
csi932366,932366.CSI,300现金流,,东财 2.932366,100
sz399365,sz399365,国证粮食,399365.SZ,腾讯,100
csi930606,930606.CSI,中证钢铁,,东财 2.930606,100
